threshold,score_mix_lambda,w_shortage,w_value,w_bb,w_trend,w_risk,shares,spent,cash,trades,avg_price
0.4,0.7,0.35,0.45,0.15,0.15,0.3,335,11968.891110420227,48031.10888957977,156,35.728033165433516
0.4,0.8,0.35,0.35,0.1,0.15,0.1,335,10223.295818328857,49776.70418167114,226,30.517300950235395
0.4,0.8,0.45,0.45,0.1,0.1,0.2,335,10222.103553771973,49777.89644622803,201,30.513741951558128
0.4,0.6,0.45,0.35,0.1,0.1,0.2,335,9840.651801109314,50159.348198890686,154,29.375080003311385
0.4,0.8,0.45,0.45,0.2,0.05,0.1,334,11330.737406730652,48669.26259326935,199,33.92436349320555
0.45,0.7,0.45,0.45,0.1,0.15,0.3,334,10210.986171722412,49789.01382827759,156,30.571814885396442
0.4,0.7,0.45,0.45,0.1,0.1,0.3,334,10193.844249725342,49806.15575027466,158,30.520491765644735
0.4,0.7,0.45,0.25,0.1,0.15,0.3,334,9796.456783294678,50203.54321670532,162,29.330708932019995
0.45,0.6,0.35,0.45,0.1,0.15,0.1,333,10715.014094352722,49284.98590564728,147,32.177219502560725
0.45,0.7,0.45,0.25,0.1,0.15,0.1,333,9303.7676486969,50696.2323513031,162,27.93924218827898
0.4,0.7,0.35,0.35,0.15,0.15,0.2,332,11263.230124473572,48736.76987552643,155,33.92539194118546
0.4,0.6,0.35,0.45,0.1,0.1,0.1,331,10675.275498390198,49324.7245016098,147,32.2515876084296
0.4,0.7,0.45,0.35,0.1,0.1,0.2,331,9751.709453582764,50248.290546417236,159,29.461357865808953
0.45,0.7,0.45,0.35,0.1,0.15,0.2,331,9744.526174545288,50255.47382545471,157,29.439656116451022
0.4,0.7,0.45,0.25,0.1,0.1,0.1,331,9275.053409576416,50724.946590423584,163,28.021309394490682
0.4,0.8,0.45,0.25,0.2,0.15,0.3,330,10389.7261428833,49610.2738571167,189,31.484018614797883
0.5,0.6,0.45,0.35,0.2,0.15,0.1,329,10722.092354774475,49277.907645225525,141,32.58994636709567
0.5,0.8,0.45,0.45,0.15,0.15,0.1,329,10261.68956375122,49738.31043624878,188,31.190545786477873
0.4,0.6,0.35,0.25,0.15,0.15,0.1,329,10068.748412132263,49931.25158786774,149,30.60409851711934
0.45,0.7,0.35,0.45,0.1,0.15,0.1,328,10747.85753250122,49252.14246749878,155,32.76785833079641
0.4,0.6,0.25,0.45,0.2,0.15,0.1,327,13583.869820594788,46416.13017940521,136,41.54088630151311
0.45,0.8,0.45,0.45,0.2,0.15,0.3,327,11399.443095207214,48600.556904792786,177,34.860682248340105
0.5,0.6,0.45,0.45,0.2,0.15,0.2,327,11208.837540626526,48791.162459373474,138,34.277790644117815
0.4,0.7,0.35,0.45,0.1,0.1,0.1,327,10901.773977279663,49098.22602272034,156,33.33875834030478
0.45,0.8,0.45,0.35,0.2,0.15,0.2,327,10806.834109306335,49193.165890693665,190,33.048422352618765
